name,site,category,phone,city,location_link
GEN 42,https://gen-42.com/,خدمة التسويق عبر الإنترنت,+213 20 10 24 19,Alger Centre,"https://www.google.com/maps/place/GEN+42/@36.7624292,3.0468685,14z/data=!4m8!1m2!2m1!1sGEN+42!3m4!1s0x128fb1e58a50a521:0x4605c2d0779e52c1!8m2!3d36.7624292!4d3.0468685"
Univerweb,https://univerweb.dz/,Concepteur de sites Web,+213 551 90 46 22,Birkhadem,"https://www.google.com/maps/place/Univerweb/@36.720966499999996,3.0475247,14z/data=!4m8!1m2!2m1!1sUniverweb!3m4!1s0x128fadbd52df6077:0x38c9c34fcdaf9630!8m2!3d36.720966499999996!4d3.0475247"
Chifrili - service de marketing digital,,Service de marketing Internet,+213 797 83 24 37,Bir Mourad Raïs,"https://www.google.com/maps/place/Chifrili+-+service+de+marketing+digital/@36.7356014,3.0395985,14z/data=!4m8!1m2!2m1!1sChifrili+-+service+de+marketing+digital!3m4!1s0x128fad3c8f3237f5:0x10fef68408dc169d!8m2!3d36.7356014!4d3.0395985"
KYO Conseil,https://www.kyo-conseil.com/,وكالة تسويق,+213 550 19 31 26,Bir Mourad Raïs,"https://www.google.com/maps/place/KYO+Conseil/@36.734890899999996,3.0539223,14z/data=!4m8!1m2!2m1!1sKYO+Conseil!3m4!1s0x128fad83a63e3a0d:0x83d4c669db0413c2!8m2!3d36.734890899999996!4d3.0539223"
Easycom,https://easycomdzagency.com/,Agence de marketing,+213 550 01 14 18,Chéraga,"https://www.google.com/maps/place/Easycom/@36.777974199999996,2.9138032,14z/data=!4m8!1m2!2m1!1sEasycom!3m4!1s0x128fbb3c91ed8563:0xa6cbe5ff3ed84cdd!8m2!3d36.777974199999996!4d2.9138032"
AVANT MEDIA,http://facebook.com/avantme,Internet marketing service,+213 21 44 68 37,Bir Mourad Raïs,"https://www.google.com/maps/place/AVANT+MEDIA/@36.736263199999996,3.0622681999999997,14z/data=!4m8!1m2!2m1!1sAVANT+MEDIA!3m4!1s0x128fad7cb092dca7:0x58e78e465d2591c8!8m2!3d36.736263199999996!4d3.0622681999999997"
smart média web,https://www.smartmediaweb.agency/,Marketing agency,+213 770 12 80 47,Aïn Bénian,"https://www.google.com/maps/place/smart+m%C3%A9dia+web/@36.8016973,2.9360074,14z/data=!4m8!1m2!2m1!1ssmart+m%C3%A9dia+web!3m4!1s0x128fbb61a9d3f1ff:0xe51c5daf9daf54da!8m2!3d36.8016973!4d2.9360074"
DZigital Agency (Agence de communication et des solutions digitales).,https://dzigital.agency/,Agence de marketing,+213 657 91 63 99,Chéraga,"https://www.google.com/maps/place/DZigital+Agency+%28Agence+de+communication+et+des+solutions+digitales%29./@36.7674634,2.9654506,14z/data=!4m8!1m2!2m1!1sDZigital+Agency+%28Agence+de+communication+et+des+solutions+digitales%29.!3m4!1s0x128fb13494b93eaf:0x425b6364e407c78c!8m2!3d36.7674634!4d2.9654506"
Fnargroup I Marketing Immobilier,http://fnargroup.com/,Agence de marketing,+213 559 48 18 41,Aïn Bénian,"https://www.google.com/maps/place/Fnargroup+I+Marketing+Immobilier/@36.8026033,2.9374737,14z/data=!4m8!1m2!2m1!1sFnargroup+I+Marketing+Immobilier!3m4!1s0x128fb1fe8fad98b5:0x9413d38e0f87bd5f!8m2!3d36.8026033!4d2.9374737"
Marketing Avenue,http://www.marketingavenue.dz/,وكالة تسويق,+213 770 07 82 31,Bir Mourad Raïs,"https://www.google.com/maps/place/Marketing+Avenue/@36.7387961,3.0372676,14z/data=!4m8!1m2!2m1!1sMarketing+Avenue!3m4!1s0x128fad8934ec0927:0xdaebf4e6be32e5c8!8m2!3d36.7387961!4d3.0372676"
OPTIMUS Business Solutions Algeria,https://optimus.dz/,Service de marketing Internet,+213 23 56 14 72,Birkhadem,"https://www.google.com/maps/place/OPTIMUS+Business+Solutions+Algeria/@36.7117454,3.0525899,14z/data=!4m8!1m2!2m1!1sOPTIMUS+Business+Solutions+Algeria!3m4!1s0x128faddde7d6b413:0x18e7e94cefc6f603!8m2!3d36.7117454!4d3.0525899"
Agence marketing digital et web,,Service de marketing Internet,+213 540 14 48 72,Baba Hassen,"https://www.google.com/maps/place/Agence+marketing+digital+et+web/@36.696264899999996,2.9732894,14z/data=!4m8!1m2!2m1!1sAgence+marketing+digital+et+web!3m4!1s0x128faffc63a41d6f:0xb11dd245acfcda16!8m2!3d36.696264899999996!4d2.9732894"
ALCOMNET Agence Digitale Alger,http://www.alcomnet.com/,Entreprise,+213 44 02 30 22,Rouiba,"https://www.google.com/maps/place/ALCOMNET+Agence+Digitale+Alger/@36.7396283,3.2763191999999997,14z/data=!4m8!1m2!2m1!1sALCOMNET+Agence+Digitale+Alger!3m4!1s0x128e454aff2937c5:0x4749fe7dd9427839!8m2!3d36.7396283!4d3.2763191999999997"
Crea Y&R,,وكالة إعلانية,+213 23 38 47 69,Ben Aknoun,"https://www.google.com/maps/place/Crea+Y%26R/@36.7544553,3.0087623999999997,14z/data=!4m8!1m2!2m1!1sCrea+Y%26R!3m4!1s0x128fb1e9926b0c37:0xb302255d5eb0132e!8m2!3d36.7544553!4d3.0087623999999997"
INFINITY CONNECT,,Service de marketing Internet,+213 540 61 44 78,Dély Ibrahim,"https://www.google.com/maps/place/INFINITY+CONNECT/@36.764063199999995,2.9914084,14z/data=!4m8!1m2!2m1!1sINFINITY+CONNECT!3m4!1s0x128fb116169b121b:0x483df282b69f5fa7!8m2!3d36.764063199999995!4d2.9914084"
O'Prisma Design,http://www.oprisma-design.com/,طابعة رقمية,+213 770 84 06 97,Chéraga,"https://www.google.com/maps/place/O%27Prisma+Design/@36.7656908,2.947692,14z/data=!4m8!1m2!2m1!1sO%27Prisma+Design!3m4!1s0x128fb1d3b20e53c7:0xe59fb9c87cfaa321!8m2!3d36.7656908!4d2.947692"
EcomArt Agency,https://ecomartyagency.com/,Service d'e-commerce,+213 555 14 27 21,El Achour,"https://www.google.com/maps/place/EcomArt+Agency/@36.733585999999995,2.9929989999999997,14z/data=!4m8!1m2!2m1!1sEcomArt+Agency!3m4!1s0x128faf2ce5b1ef93:0xdd54895f94bdd560!8m2!3d36.733585999999995!4d2.9929989999999997"
Agence Graffiné,,Agence de marketing,+213 776 38 81 68,,"https://www.google.com/maps/place/Agence+Graffin%C3%A9/@28.094873399999997,1.6656943,14z/data=!4m8!1m2!2m1!1sAgence+Graffin%C3%A9!3m4!1s0xc6b16394ceb2c8d:0xe1566fee2834daa3!8m2!3d28.094873399999997!4d1.6656943"
Echoo marketing,,Service de marketing Internet,+213 772 46 74 47,Mohammadia,"https://www.google.com/maps/place/Echoo+marketing/@36.7348077,3.1698090999999997,14z/data=!4m8!1m2!2m1!1sEchoo+marketing!3m4!1s0x128e537c847bbf63:0x3ea25193892e7fd8!8m2!3d36.7348077!4d3.1698090999999997"
Numericom Algérie,http://www.numericom-conferences.com/,Agence événementielle,+213 551 84 69 88,Bir Mourad Raïs,"https://www.google.com/maps/place/Numericom+Alg%C3%A9rie/@36.735134099999996,3.0620844999999997,14z/data=!4m8!1m2!2m1!1sNumericom+Alg%C3%A9rie!3m4!1s0x128fb27bcc76d0d9:0xce0aeb733699c2f1!8m2!3d36.735134099999996!4d3.0620844999999997"
MAYSS Digital Services,,Service de marketing Internet,+213 23 54 39 57,Bir Mourad Raïs,"https://www.google.com/maps/place/MAYSS+Digital+Services/@36.7355766,3.0585527,14z/data=!4m8!1m2!2m1!1sMAYSS+Digital+Services!3m4!1s0x128fad703e9ee69d:0xab64965dd99f5d7c!8m2!3d36.7355766!4d3.0585527"
First Action,,وكالة تسويق,+213 698 31 85 41,Ben Aknoun,"https://www.google.com/maps/place/First+Action/@36.7580549,3.0027139999999997,14z/data=!4m8!1m2!2m1!1sFirst+Action!3m4!1s0x128fb1eed5954033:0xae0f34fb1a69d8dd!8m2!3d36.7580549!4d3.0027139999999997"
Zeon soft,https://www.zeon-soft.com/,Service de marketing Internet,+213 772 84 78 64,Ben Aknoun,"https://www.google.com/maps/place/Zeon+soft/@36.758102,3.0021496,14z/data=!4m8!1m2!2m1!1sZeon+soft!3m4!1s0x128fb1e92ee90b81:0xde2879e261ac68d8!8m2!3d36.758102!4d3.0021496"
Star digital dz,,Agence de marketing,+213 542 08 12 85,El Hammamet,"https://www.google.com/maps/place/Star+digital+dz/@36.808758,2.9468764999999997,14z/data=!4m8!1m2!2m1!1sStar+digital+dz!3m4!1s0x128fb1bdb0d3551d:0x3e16453791667364!8m2!3d36.808758!4d2.9468764999999997"
Magma Ltd,,Service de marketing Internet,+213 23 57 62 54,Birkhadem,"https://www.google.com/maps/place/Magma+Ltd/@36.7173261,3.0398620999999997,14z/data=!4m8!1m2!2m1!1sMagma+Ltd!3m4!1s0x128fad5e467db3df:0xde33ee0cc4f34955!8m2!3d36.7173261!4d3.0398620999999997"
Blue Knot - Digital Marketing Solution,https://www.blue8knot.com/,Advertising agency,+213 550 59 99 79,Hydra,"https://www.google.com/maps/place/Blue+Knot+-+Digital+Marketing+Solution/@36.7456526,3.0292339999999998,14z/data=!4m8!1m2!2m1!1sBlue+Knot+-+Digital+Marketing+Solution!3m4!1s0x128fb39ad3f63f8f:0xe1e76ebd4b7d489f!8m2!3d36.7456526!4d3.0292339999999998"
MARKCOM,http://markcomplus.com/,Agence de marketing,+213 560 00 08 08,Hydra,"https://www.google.com/maps/place/MARKCOM/@36.738389,3.0456555,14z/data=!4m8!1m2!2m1!1sMARKCOM!3m4!1s0x128fad88d074ebc1:0x1c20e4c742b827f6!8m2!3d36.738389!4d3.0456555"
uxo group,http://www.uxogroup.com/,Agence de marketing,+213 549 39 39 64,Hydra,"https://www.google.com/maps/place/uxo+group/@36.7487107,3.0399483,14z/data=!4m8!1m2!2m1!1suxo+group!3m4!1s0x128e53487f8e5f61:0xe19759cb40b8275e!8m2!3d36.7487107!4d3.0399483"
Smart Stratégies Algérie,,خدمة التسويق عبر الإنترنت,+213 770 12 90 71,Zeralda,"https://www.google.com/maps/place/Smart+Strat%C3%A9gies+Alg%C3%A9rie/@36.7101452,2.8437118,14z/data=!4m8!1m2!2m1!1sSmart+Strat%C3%A9gies+Alg%C3%A9rie!3m4!1s0x128fa376b5000001:0x6e2fcec1341c42c5!8m2!3d36.7101452!4d2.8437118"
Red M Agency,,وكالة إعلانية,+213 23 48 21 29,Hydra,"https://www.google.com/maps/place/Red+M+Agency/@36.7474731,3.0288717999999997,14z/data=!4m8!1m2!2m1!1sRed+M+Agency!3m4!1s0x128fb38a668c26bf:0xd411a22e5e0add90!8m2!3d36.7474731!4d3.0288717999999997"
As Media,https://algeriescoop.dz/,Advertising agency,+213 23 21 17 33,Dély Ibrahim,"https://www.google.com/maps/place/As+Media/@36.755346599999996,2.987144,14z/data=!4m8!1m2!2m1!1sAs+Media!3m4!1s0x128fb1f8a4dd9541:0x887d03f014bce4f4!8m2!3d36.755346599999996!4d2.987144"
Les Pages Maghreb,https://www.pagesmaghreb.com/,Agence de publicité,+213 770 97 00 00,Hydra,"https://www.google.com/maps/place/Les+Pages+Maghreb/@36.7394677,3.0353242,14z/data=!4m8!1m2!2m1!1sLes+Pages+Maghreb!3m4!1s0x128fadf48c829e85:0xc1b5e0df00701760!8m2!3d36.7394677!4d3.0353242"
elixir concept,https://elixir-concept.mailchimpsites.com/,Agence de publicité,+213 792 02 16 26,,"https://www.google.com/maps/place/elixir+concept/@36.7390184,3.1393309,14z/data=!4m8!1m2!2m1!1selixir+concept!3m4!1s0x7dc02951d7412ef:0x1dbebd74ae2589ba!8m2!3d36.7390184!4d3.1393309"
Sarl ilivik Solution,http://www.ilivik.com/,Agence de marketing,+213 21 34 29 74,Cheraga alger,"https://www.google.com/maps/place/Sarl+ilivik+Solution/@36.759319999999995,2.964088,14z/data=!4m8!1m2!2m1!1sSarl+ilivik+Solution!3m4!1s0x128fb1c44a0442fb:0xe996a12cc1ed93e8!8m2!3d36.759319999999995!4d2.964088"
SARL GHOST RIDER,,Concepteur de sites Web,+213 558 00 93 40,,"https://www.google.com/maps/place/SARL+GHOST+RIDER/@28.094873399999997,1.6656943,14z/data=!4m8!1m2!2m1!1sSARL+GHOST+RIDER!3m4!1s0x128fb12dba8933b1:0xf1008a49ab4bc333!8m2!3d28.094873399999997!4d1.6656943"
I-VENT,http://www.ivent-dz.com/,Agence événementielle,+213 561 61 69 65,El Biar,"https://www.google.com/maps/place/I-VENT/@36.7674921,3.0362706,14z/data=!4m8!1m2!2m1!1sI-VENT!3m4!1s0x128fb314f6db0651:0xa7689a05903727b1!8m2!3d36.7674921!4d3.0362706"
sense conseil,http://senseconseil.com/,خدمة التسويق عبر الإنترنت,+213 23 48 51 06,Hydra,"https://www.google.com/maps/place/sense+conseil/@36.7443319,3.0355748,14z/data=!4m8!1m2!2m1!1ssense+conseil!3m4!1s0x128fad8a961dab99:0x1e9897a66699f1d2!8m2!3d36.7443319!4d3.0355748"
LGI agence full marketing,,Agence de marketing,+213 550 21 27 85,El Achour,"https://www.google.com/maps/place/LGI+agence+full+marketing/@36.7293016,2.9694126,14z/data=!4m8!1m2!2m1!1sLGI+agence+full+marketing!3m4!1s0x128faf007465954b:0x2fd28b82f49c6c8d!8m2!3d36.7293016!4d2.9694126"
Geni Agency,http://geniagency-dz.com/,Agence de marketing,+213 770 67 25 66,Hydra,"https://www.google.com/maps/place/Geni+Agency/@36.742939,3.0421177,14z/data=!4m8!1m2!2m1!1sGeni+Agency!3m4!1s0x128fb3172d778eed:0xb8995b7db8925c6d!8m2!3d36.742939!4d3.0421177"
EFFET SCIENCES,http://effetsciences.com/,Agence de publicité,+213 23 15 33 11,El Achour,"https://www.google.com/maps/place/EFFET+SCIENCES/@36.747700699999996,2.9994772,14z/data=!4m8!1m2!2m1!1sEFFET+SCIENCES!3m4!1s0x128fb13acaab9fcf:0x662a80504a673c68!8m2!3d36.747700699999996!4d2.9994772"
Lotus Medias,,Agence de publicité,+213 23 30 81 63,Dély Ibrahim,"https://www.google.com/maps/place/Lotus+Medias/@36.758629,2.9799824,14z/data=!4m8!1m2!2m1!1sLotus+Medias!3m4!1s0x128fb1cbf8e11d2d:0xd410e291f680af9b!8m2!3d36.758629!4d2.9799824"
Yemma Communication,https://yemma-communication.dz/,Agence de publicité,+213 555 14 38 91,Souidania,"https://www.google.com/maps/place/Yemma+Communication/@36.705525699999995,2.9143149999999998,14z/data=!4m8!1m2!2m1!1sYemma+Communication!3m4!1s0x128fa5ec196f2c8d:0x4ed07579c9ffcb4c!8m2!3d36.705525699999995!4d2.9143149999999998"
